"_id","bonne_reponse","description","id_quiz","question","reponse_1","reponse_2","reponse_3","reponse_4"
"62f38d825c350000f0000cbf","4","Un grand nombre de pièces d'argent ont fait leur apparition dans un champ labouré à Blenstrup. Les pièces en argent sont de l'époque des Vikings, datées environ de l'an 1000.","11","Des pièces d'argents ont été trouvées à Blenstrup (Danemark). De quand sont-elles datées ?","L'an 200","L'an 500","L'an 800","L'an 1000"
"62f38d935c350000f0000cc0","3","Borgring mesure 144 mètres de diamètre. Construite en terre et en bois, elle possédait quatre portes. À l'intérieur, deux routes pavées de bois s'entrecroisaient pour y mener. La datation des cernes de bois indique que la forteresse aurait été érigée entre 970 et 980, soit à la même période que pour les autres qui ont été retrouvées. Il est vraisemblable que ce fut sous l'égide Harald ""Bluetooth"" Gormsson, qui régnait alors.","12","Sous le regne de quel roi viking la forteresse de Borgring fut construite ?","Harlad aux Beaux Cheveux","Harald Wifi","Harald Bluetooth","Saint Olaf"
"62f38db05c350000f0000cc1","2","À l’âge des Vikings au cours duquel ces guerriers et marchands d’Europe du Nord ont sillonné les mers entre les VIIIe et XIe siècles, il était de coutume d’enterrer les rois et les chefs à bord d’un bateau hissé à terre et enseveli sous un monticule.","13","À l’âge des Vikings, quel était la coutume d'enterrement des rois et des chefs ?","Ils sont jetés à la mer","ils sont enterrer à bord d'un bateau","Ils sont incinérés","Ils sont enterrer comme aujour'hui"
"62f38dbe5c350000f0000cc2","3","Au départ, le personnel du musée a attribué l'os au stégosaure marocain Adratiklit, car il provenait de la même région dans les montagnes de l'Atlas. Maidment et ses collègues ont toutefois rapidement réalisé que le fossile devait appartenir à une espèce nouvelle, ce qui le rendait d'autant plus important. Par la suite, le musée d'histoire naturelle s'est rapproché de l'université Sidi Mohamed Ben Abdellah de Fès, au Maroc, pour conclure un accord de collaboration dans l'étude du fossile.","14","Où l'unique fossile de Spicomellus découvert à ce jour ?","Canada","Inde","Maroc","Péru"
"62f38f565c350000f0000cc3","1","Surnommé Cooper en référence à un ruisseau voisin, l'animal a vu ses fossiles retenus par la science pendant plus de dix ans, notamment pour une analyse tridimensionnelle de la surface des os. Les résultats de cette longue étude ont fait l'objet d'une publication en juin dans la revue PeerJ, confirmant que le dinosaure âgé de 95 millions d'années constitue bel et bien une nouvelle espèce : Australotitan cooperensis.","15","Comment est surnommé le plus grand dinosaure retrouvé en Australie ?","Cooper","Mississpi","Yukon","Colorado"
"62f38f685c350000f0000cc4","2","Tlatolophus galorum est un lambéosaure, une sous-famille de dinosaures herbivores. Son nom, il le doit à l'étonnante crête en forme de virgule qui orne son crâne, ou plus précisément à sa ressemblance avec le symbole aztèque tlahtolli, qui signifie « mot » en langue nahuatl.","16","Par quoi se distingue le Tlatolophus galorum ?","Sa manière de communiquer","Sa crête","Sa peau","Son alimentation"
"62f38f755c350000f0000cc5","4","Présentés dans la revue Scientific Reports, les fossiles découverts sur l'île appartiennent à deux nouveaux types de spinosauridés, un groupe énigmatique de grands dinosaures prédateurs auquel appartenait notamment Spinosaurus, le célèbre « dinosaure nageur ».","17","A quel espèce de dinosaure appartiennent le Ceratosuchops  et le Riparovenator ?","Lambéosaure","Limusaurus","Yamatosaurus","Spinosauridés"
"62f38f855c350000f0000cc6","1","Il y a plus de 72 millions d'années, les rivages de la Patagonie chilienne abritaient un solide petit dinosaure à la queue unique en son genre : une imposante masse osseuse à l'allure de batte aplatie et dentelée. « C'est absolument sans précédent, » déclarait Alexander Vargas, paléontologue à l'université du Chili, à propos de ladite queue.","18","Où vivait le Stegouros elengassen ?","Sur les rivages de la Patagonie chilienne","Au brésil ","Au nord du mexique ","Au sud de l'Italie"
"62f38f9c5c350000f0000cc7","3","Enfin des nouvelles du San José, considéré aujourd'hui comme l'épave recelant le plus de trésors au monde. Depuis son naufrage en juin 1708 au large de Carthagène des Indes, dans les eaux claires de la péninsule de Baru, en Colombie, ce galion espagnol - ou du moins ce qu'il en reste - gît par 950 mètres de fond, une profondeur que seules des machines sont capables d'atteindre. Localisée en 2015, l'épave n'a jamais été intégralement fouillée.","19","En quelle année le san José a-t-il fait naufrage ?","June 1508","June 1608","June 1708","June 1808"
"62f38fac5c350000f0000cc8","2","Des paléontologues viennent de découvrir la patte d’un Thescelosaurus, un petit herbivore qui vivait en Amérique du Nord à la fin du Crétacé il y a 66 millions d’années. D’après eux, les restes fossilisés datent du jour où l’astéroïde massif a pu tuer le dinosaure en frappant la Terre à 3000 km de là où il se trouvait, dans ce qui est aujourd’hui le golfe du Mexique.","20","A quel espèce de dinosaure appartient la patte fossilisé retrouvé à Tanis (Dakota) ?","Spinosauridés","Thescelosaurus","Lambéosaure","Yamatosaurus"
